checkInDate,checkOutDate,dislikedText,hotelId,Staff score,Facilities,Cleanliness,Comfort,Value for money,Location,Free Wifi,id,likedText,numberOfNights,rating,reviewLanguage,reviewTitle,stayRoomId,travelerType,userLocation,userName
6/2/2025,6/4/2025,"Old building and there was a smell of damp especially around the bathroom. The place is very close to the train line and it is very noisy with all the bars and restaurants nearby. The lift was not working so hard to get up and down with all bags and kids at once. We asked for an extra pillow which we never received but the worst thing was the Internet. Very slow with individual login set up for each device (even the TV in the apartment needed a separate login). As we arrived late and had to self checkin we only got 3 logins left at the table, however we are 4 people with more than one device per person, which meant that some of us had to use their mobile data instead.",67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,cd6d90ef2c6698eb,The apartment was very spacious and had large windows and 2 balconies. Three bedrooms which was what we needed. The place is veru close to the zoo which was a huge plus.,2,6,en,Good for the zoo but noisy and slow Internet,6751507,Family,United Kingdom,Elena
5/15/2025,5/20/2025,The Appartment doesnt look like the pictures a,67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,1fbd114de66ee391,Nothing!,5,1,en,,6751506,Group,Germany,Raafat
5/6/2025,5/11/2025,We first got a room on the third floor which had a damp kitchen but the staff was very prompt and gave us another room the next day so everything was good in the end.,67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,c2fc55324429fd19,"Perfect location, close to Kudamm, quiet neighborhood, restaurants and coffee shops around, helpful staff, spacious rooms, well equipped, good value for money. Would stay again.",5,9,xu,,6751506,Group,Romania,Felicia
2/6/2025,2/9/2025,"Worn out rooms, smelled of mold or cigarette smoke, hard to tell",67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,43cb420ee7862c74,Good location,3,6,en,,6751504,Family,Latvia,Anita
4/10/2025,4/12/2025,"No lift service you have to clim stairs so if you have family or kids find something else
Its pitch dark stairs 
No proper lighting outside rooms
Tap water is bad",67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,384159fc2e3c7a52,"Prime location 
Big size room literally an 2 BHK apartment 
Lot of food spots around
Food street is walkable and walkable from zoological garten",2,7,en,Good but no lift,6751503,Family,India,Sangeeth
3/13/2025,3/16/2025,,67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,ad02f7e432d454ca,We didnt get the door code at first day.,3,5,en,,6751507,Family,Latvia,Inta
3/18/2025,3/19/2025,,67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,3ddc725ba19315ad,Great location.  Everything was clean and as described in the listing.,1,10,xu,Great location,6751507,Family,United States,Megan
3/23/2025,3/25/2025,It was clean and close to the city center.,67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,b842bcdd78f9df83,,2,10,en,,6751502,Solo traveler,Georgia,Tamar
3/22/2025,3/23/2025,"Even though having non-smoking room, it was quite smelly from cigarette smoke. I probably wouldn't stay in same apartments just due to this reason.",67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,9848847e1bf44b4d,"Good location with some restaurants and cafes around. Close to U-bahn station, less than 30min away from main city attractions. Quite room, even though next to train rails. Spacious room, quite clean. Parking place in backyard.",1,7,en,VEGA Apartments Review,6751503,Family,Czech Republic,Miloš
3/6/2025,3/7/2025,,67515,8.303023338,6.901803017,7.57955122,7.466187477,7.520712852,8.692822456,7.653725147,d0228838771ef66a,"The room was clean and big.
It had a tiny balcony and a separate WC was a good idea.
Everything was nice except the inter and exit door I expected more.",1,7,xu,Gut für übernachten.,6751502,Family,Germany,S
,,,,,,,,,,,,,,,,,,,,
6/4/2025,6/5/2025,,1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,7fd9e85e7e539240,"Good place, easy to book and check in. Apartment was huge, and comfy. Personnel available in person or over the phone. Pet friendly ??",1,9,en,Nice stay,107619409,Family,Ukraine,Oleksii
5/5/2025,5/11/2025,"The original room had issues due to cigarette smoke, either  from a previous guest or from the outside smoking corner,  so the staff switched is to another room for 3 nights out of 7 total. This studio is facing the inner courtyard where people go to smoke, so an air freshener is a must for that room or maybe to switch the smoking corner. they should add slippers for guests as the floor gets pretty cold.",1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,7d08d8f38705a301,"We extended our stay with 1 more night on the spot, so we stayed 7 nights. The staff is very polite and helpful.
The original room had issues due to cigarette smoke, either from a previous guest or from the outside smoking corner,  so the staff switched is to another room for 3 nights out of 7 total.
The apartment has all the basic amenities and is in a quiet green area of Galati.They allowed us to park inside their gated area for the full duration of the stay.
 Location wise, it's close to Penny market and 10min from Viva park and the Danube prommenade.",6,7,en,An adventurous stay in Galati,107619405,Couple,Czech Republic,Katana_25
3/22/2025,3/23/2025,,1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,0aec35962e2eed9b,"Second time. One night. Parking in the night was very busy, but again, we were lucky. Room is big with a big kitchen. Decoration makes a comfortable stay. Balcony with ashtray. We like this hotel,  car charging is close in few blocks away. Good stay if you travel with stop inside town.",1,9,en,,107619405,Family,Ukraine,Aleksandr
2/22/2025,2/23/2025,,1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,a31b52922157f822,not applicable,1,8,en,,107619405,Couple,Romania,Mihaela
12/29/2024,12/30/2024,"I had a terrible experience with this hotel. Their listing stated check-in was available from 00:00 to 00:00, which is why I specifically chose this place, as I was arriving early in the morning after a 2-day flight. However, when I arrived and called them, they told me check-in was only available after noon.

As a result, I was left stranded on the street, exhausted after my long journey. I contacted them to request a refund, but no one has responded or returned my money. This is completely unacceptable and highly unprofessional. I do not recommend this hotel to anyone.",1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,c8db2d06226a3c9c,"I had a terrible experience with this hotel. Their listing stated check-in was available from 00:00 to 00:00, which is why I specifically chose this place, as I was arriving early in the morning after a 2-day flight. However, when I arrived and called them, they told me check-in was only available after noon.

As a result, I was left stranded on the street, exhausted after my long journey. I contacted them to request a refund, but no one has responded or returned my money. This is completely unacceptable and highly unprofessional. I do not recommend this hotel to anyone.",1,1,en,,107619406,Family,Ukraine,Oleg
12/21/2024,12/22/2024,Could do better on cleanliness and maintenance.,1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,865b060d7d90560b,"Space room, great location",1,9,en,Generally satisfied,107619407,Family,Greece,Panayotis
10/26/2024,10/27/2024,"First parking is on the street and you should find a place around. Then the cleanliness should be done more carefully.
The mattress from the bedroom is really bad. During the day we need to ask something, but no answear at the phone or someone at the reception.",1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,7871327875925ab6,Location,1,7,en,,107619415,Family,Romania,Patrascan
9/10/2024,9/11/2024,"It's really challenging to get an invoice from this property. They do not respond on the chat, their phone number is not available. Have to contact Booking support to get somewhere (still not there).",1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,79e305cafc98d6f9,"The apartment is big. I stayed for the night only, so couldn't really enjoy all of it.",1,6,en,,107619405,Group,United Kingdom,Yuriy
9/19/2024,9/21/2024,"We had a reservation for four adults in an apartment with two bedrooms (twin beds in each room) and a living room. After a ten hour drive, to our surprise upon arrival they assigned us an apartment with a single room (with a queen bed) and a living and informed us that the apartment we reserved was no longer available. After long discussions with the hotel manager, they called us to another hotel where they promised us a similar reservation, but surprise, they showed us an apartment with two bedrooms (a queen bed in each) and a living. Being in rush and constrained by the fact that I was already late for a meeting I had planned, I accepted the solution but it was far from what I would call a desirable experience when traveling.",1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,bbff5790cbe3f05e,,2,4,xu,A disappointing experience.,107619409,Group,Romania,Andreica
8/30/2024,8/31/2024,Noisy neighbors.,1076194,8.768136978,8.655609131,8.70807457,8.713629723,8.583415985,8.905618668,9.145171165,057b50dd336c80a3,Heat location. Big clean apartment.,1,9,en,,107619407,Solo traveler,Romania,Toma
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
7/16/2024,7/20/2024,"No grill as stated in the ad.
Too much noise from accelerating cars and motorcycles. 
No top mattress on the double bed - hard as a rock, and a nerve is now stuck in my shoulder. 
Only one small minibar as a fridge (second minibar did not work). We did expect a kitchen with plates and cutlery. In our opinion one cannot define an area as a kitchen with just 4 wine glasses, 4 coffee cups, a microwave, a coffee machine and a sink. 
The carpet in the apartment is worn out, and the fabric on the sofa chairs do not fit after a supposedly wash some time ago.",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,65c63c414c998ff1,"Size of apartment and balcony. Access to pools. Staff service.
Outdoor temperature and thick walls meant that we preferred open windows over air condition (so I cannot tell if it worked) - despite the massive noise from vehicles on the nearby road.
The area is quite nice for field trips somewhat close by, but surrounding buildings suggest that Poiana Brasov’s great days are on the return.",4,6,en,"Big but quite old and worn out apartment without a kitchen, lack of top mattress on double mattress and quite a bit of n",707480101,Family,Denmark,Iben
1/27/2024,1/29/2024,"The balconies doors should be repaired, the wind/cold comes in the rooms",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,28566606c49e8e1b,Big & clean rooms,2,9,en,"The owner accepted early check in and late check out, as we were with a 4 months baby, also raised the temperature in th",707480101,Family,Romania,Iulia
6/25/2022,6/26/2022,"Owner of apartment didn't supply correct pin, leading to numerous trips to reception and 50 minutes delay in entering the room. Room is not a 4 Star accommodation: electrical sockets weren't all working, no coffee in apartment, no ironing board or iron, bar stocked poorly. Looked for electrical Distribution  Board and could only find an electrical meter. No RCD or RCBO while 220V sockets are installed in bathrooms next to the washbasin, to supply hairdrier!???
Unfortunately for us, an expensive experience, with nothing but pretentiousness and no substance to justify the inflated price, not refundable,  when booked months in advance.

Learned my lesson the hard way!",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a49b17445200ddd3,Size of apartment,1,1,en,Expensive pretentiousness,707480101,Group,United Kingdom,Emanuel
1/20/2025,1/24/2025,Frigul dintr-o baie,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a6852a33a581cce5,Confortul ?i calitatea,4,9,ro,,707480101,Family,Romania,Vasile
12/14/2024,12/15/2024,"Patul disconfortant, pernele de foarte proasta calitate, pracyic nu am reudit sa ne odihnin. Geamurile stricate. Lipsa minibar, lipsa capsulelor de cafea.",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,0cb0e9c99e8800e6,Vederea din camera,1,6,ro,"Spatiile comune frumos decorate, camera disconfortanta.",707480101,Family,Romania,Clonda
9/21/2024,9/23/2024,"La piscina nu au mai îmbun?t??it nimic fata de cum stiam noi, wc murdare si vechi iar personalul de la piscina foarte dezagreabil.
In apartament aveam 2 aparate de cafea cu cesti , zahar , linguri?e dar lipsea ce era cel mai important cafeaua.
La baie curatenie superficiala si mirosea.
Dulapul din dresing nu avea cheie asa ca nu am avut cum sa il deschidem sa ne depozitam hainele si sa folosim seiful.
Salteaua patului foarte veche si inconfortabila.
Minibarul gol nici macar o apa plata nu avea.",7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,df7bce1828a1afef,"Ne place locatia foarte mult si zona Spa.
La restaurant personal amabil si mancare buna.",2,5,ro,Se putea si mai bine.,707480101,Couple,Romania,George
8/31/2024,9/4/2024,Kleinigkeiten,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,c353384a65581e4c,"Sehr grosses Apartement mit 2 Bädern und grosser Balkon, Top Lage und Ausstattung des Hotels, Personal sehr hilfsbereit",4,9,de,Toller Aufenthalt,707480101,Family,Germany,Lx-hammer
8/9/2024,8/10/2024,Problemas con la TV. Creo que tienen que arreglar la antena o cambiar algún conector porque se veía muy mal.,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a00e4a251d46f509,"Ubicación, desayuno y piscina excelentes. También me gusta el piso. Es la segunda vez que reservo este piso y creo que habrá una tercera.",1,9,es,,707480101,Family,Spain,Ioan
8/14/2024,8/15/2024,Pre?,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,a9fcb51a5207a229,Tot,1,9,ro,Sejur frumos in Poiana Bra?ov la hotel Alpin,707480101,Family,Romania,Mihail-gabriel
8/12/2024,8/14/2024,-,7074801,9.493238449,9.064050674,9.046437263,9.232179642,8.750050545,9.325675011,6.666666031,bc8640c4dda1f6e6,Minden tökéletes,2,10,hu,,707480101,Couple,Hungary,László
2/16/2025,2/18/2025,All perfect,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,89eccd4b8c96cda3,We enjoyed every minute there. We loved their flexibilty and immediate availability for everything we asked for.,2,10,en,,753323001,Family,Romania,Ileana
7/27/2024,7/28/2024,Evry thing was very good,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,adc944f01cf5e589,,1,8,en,,753323001,Group,Romania,Bassam
7/5/2024,7/7/2024,,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,1dee479f4a108e3e,Everything was excellent,2,9,xu,,753323001,Family,Israel,Yaniv
7/4/2023,7/11/2023,"2 of 3 TV sets are not working, the shower faucet is not working, the jacuzzi is not working, in bathroom smells anytime like hell, the furniture is old and functional, and like a bonus, you can not sleep during the day ... because in front of 2403 apartment is a ""Staff Only"" door where every day is a meeting of the of maids and caretakers talking as loudly as possible about the ""hotel problems"", who ""was in the manager office for two hours and why"", and ""what the hotel owner bought in the last time with hid dirty money"" ... nice, isn't it?",7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,1895b9d25bd466ce,A spacious apartment with a large balcony in the middle of the Romanian mountains.,7,5,xu,,753323001,Family,Romania,Cristian
6/24/2023,6/25/2023,,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,084e469d8ee62e04,"Very clean, the view is amazing and the silence is something that you need for rest. And the staff very friendly. Feel like home!",1,10,en,A place like home,753323001,Family,Romania,Andreea
1/27/2023,1/29/2023,One of the biggest issues was the fact that you had to pay for access the pool. I don't mind paying but it is very misleading and unfair to pay for this privilege when you are paying already for a room. This is way I won't recommend this property as other properties will offer it for free,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,0402233e2dda298a,The breakfast was quite good as well as the location. The staff was respectful and knowledgeable and helped us on every need.,2,5,en,Average,753323001,Family,United Kingdom,Emanuel
12/26/2022,12/30/2022,obsolate,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,b59aa618dee8bbf3,location,4,6,en,,753323001,Family,Romania,Razvan
10/14/2022,10/15/2022,"shower was not clear how to handle and elecrtric problem in the evening, the fuse blew out. lang waiting for elevators. Hotel is a bit like a labyrint.",7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,9017ab4c719f1f40,appartement big and specious,1,8,en,oke but some sortcomings,753323001,Group,Netherlands,Plimbator
2/18/2025,2/21/2025,Lipsa cuier pentru haine groase,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,f57b0d7eb1e591da,Totul a fost super,3,10,ro,"A fost super, vom reveni.",753323001,Family,Romania,Valeria
8/15/2024,8/18/2024,-,7533230,8.90557003,8.952996254,9.101963997,8.902563095,8.51690197,9.19852066,6.005030632,72f996f816f87f5c,Servicii impecabile,3,10,ro,Excelent,753323001,Family,Romania,Florin
5/22/2025,5/23/2025,All great. Not sure if the AC would cope with the hotter periods but then we never asked the staff to turn if up and it was fine when we were there,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,3503c56f5299af16,"Lovely hotel and staff, great location",1,10,xu,Fantastic,566741104,Couple,United Kingdom,Simon
5/31/2025,6/1/2025,,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,3c727d5c9118f7ab,"The Castellano was perfect for us.  The room was great.  The shower had hot water.  The little basket of necessities (shower cap, sewing kit etc) was appreciated.",1,10,xu,I would return !,566741103,Couple,Canada,Ephraim
5/29/2025,6/1/2025,,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,00a703555ec3e80c,"Great location, comfortable and clean room. Great breakfast. Staff were helpful so glad we stayed here for our trip.",3,10,xu,,566741103,Couple,Australia,Judy
4/25/2025,4/27/2025,Everything was perfect!,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,cc72472f7c766d35,"Extremely comfortable and spotless, with beautiful decor and excellent use of interior space. We had a wonderful experience at the hotel!
The entire staff was incredibly welcoming and professional, and we especially want to thank Xristina for her outstanding service.
She was extremely attentive and thoughtful, making sure every little detail was taken care of so that we felt truly at home.
Thanks to her kindness and dedication, our stay was even more special.
We would definitely love to come back!",2,10,en,"An amazing stay, made even more special by Xristina’s exceptional care and attention to every detail.",566741104,Family,Netherlands,Paulo
4/13/2025,4/15/2025,I really liked everything,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,e501dcd1cf0d8d43,Very nice design. Great location. Very kind and helpful staff. Very clean. Very good breakfast. Best choice!,2,10,xu,"Very good location as a tourist to feel the city, eat breakfast at the center outside and come back to a quiet a nice ro",566741103,Couple,Israel,Henny
3/30/2025,3/31/2025,,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,fa56e2a2ad0bc905,"The rooms were exceptionally stylish and spacious with balconies overlooking the central plaza. Staff was extremely friendly and welcoming. The hotel is small and quiet. We had two rooms, the pricier of which was not reachable by elevator and the bathroom, though aesthetically designed, was much too small with only one tiny sink in the toilet cubicle (none other available for brushing teeth). The cheaper room though was absolutely awesome!",1,10,en,Beautiful small hotel in central Nafplio,566741105,Family,Germany,Alison
3/12/2025,3/17/2025,Not inexpensive (but worth the cost),5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,b63eede41632e1f7,Well refurbished suite in a boutique hotel. Very welcoming and helpful staff (great restaraunt recommendations). Good location in town centre. Fantastic breakfast in local cafe in square.,5,10,xu,Wonderful Hotel in  Great location,566741104,Couple,Italy,Max
1/6/2025,1/10/2025,The process of ordering room service is a little clunky and the offerings are somewhat limited.,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,1b9d126cefc63330,"Lovely rooms, exceptional and friendly staff. This hotel feels cozy and luxurious at the same time. It is perfectly situated in Nafplio - easy walking to everything you would want. The design of the room we stayed in was perfect and gave us room to spread out with our young daughter. The breakfast is quite enjoyable and you have options to get it in your room, in the lobby of the hotel, or in a nearby cafe. We would absolutely return in a heartbeat.",4,9,en,"Wonderful stay at a peaceful, luxurious hotel with exceptional staff",566741105,Family,Canada,Lisa
1/2/2025,1/5/2025,"Uninterested and dishonest staff. They never informed us for the failed AC until we asked. Then they said it would be fixed “tomorrow” and the problem was never solved until we left. 
Lack pf maintenance. Furniture were worn. Toilet door was not closing properly and the handle was broken. Sink was smelly.",5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,209497d082c54591,"Location
Modern design",3,3,en,Great location but…,566741103,Couple,United Kingdom,Maximos
12/12/2024,12/15/2024,,5667411,9.789340973,9.268802643,9.580377579,9.664004326,9.198241234,9.866670609,9.610790253,62ee4413b37aadda,"Everything was excellent, location, staff, breakfast, the size of the room and also was super clean.",3,10,en,,566741104,Family,Israel,Nave
5/9/2025,5/14/2025,"Unfortunately there was a bit of early noise at the theatre on a couple of the mornings because of equipment changes at the theatre. Nothing too bad though.
The balcony door came off its hinges, meaning we couldn't go on to the balcony and couldn't be fixed. Once they had been informed, the Juno staff team sent someone to check it, and apologised as it wouldn't be able to be fixed while we were staying there. The lighting in the bedrooms was strange - no good for reading. Would have liked mirrors in the bedrooms.",12410895,9.316004753,9.282899857,9.422502518,9.534000397,8.973041534,9.6666666,9.665504456,7c49fd23cf0bc264,"The location was very good. We were beside the national Theatre and a large open green area. A quiet situation most of the time. We were able to walk everywhere in the centre of Sofia. A very large apartment, well appointed.
The Juno Hotel staff team were helpful when a few issues were raised.",5,9,en,We all enjoyed our stay at the apartment.,1241089501,Group,United Kingdom,Lawrence
5/25/2025,5/28/2025,"Not a problem for us,  but there are three flights of stairs…",12410895,9.316004753,9.282899857,9.422502518,9.534000397,8.973041534,5.251515,9.665504456,b0c0d7145bc8bd8d,"A superb luxe option, spacious and thoughtfully equipped.  The design is aesthetically appealing,  the furnishings luxe, the location superb.   We loved our stay.. wish it had been longer.   Thank you juno team.",3,10,en,One of the best city stays .. and we’ve done a few!,1241089501,Couple,United Kingdom,Jane
5/14/2025,5/15/2025,,12410895,9.316004753,9.282899857,9.422502518,9.534000397,8.973041534,5.251515,9.665504456,b3b0ff73f098f671,"One of the best hotel experiences! Unique  design hotel with huge beds and super cosy atmosphere. Do not hesitate, just book it!!!",1,10,xu,,1241089501,Couple,Israel,Daniel
3/29/2025,3/30/2025,,12410895,9.316004753,9.282899857,9.422502518,9.534000397,8.973041534,5.251515,9.665504456,efd4c64d0af9ba88,#NAME?,1,10,xu,Great experience :),1241089501,Group,Bulgaria,Martin
3/28/2025,3/29/2025,,12410895,9.316004753,9.282899857,9.422502518,9.534000397,8.973041534,5.251515,9.665504456,3712516bc0daec6a,"This condo was not at Juno hotel. It was in an old building far away from Juno hotel. Third story walk up, no elevator. No 24 hour front desk. I had to WhatsApp hotel Juno to figure out what was going on with our room, including lack of water and welcome wine as advertised in the listing. The condo was nice but the pictures in the listing show a modern hotel lobby and gym which was not located near here.",1,2,xu,Not as advertised - not a hotel,1241089501,Family,United States,Derek
